date,state,district,type,beds
2022-01-01,Sabah,Kota Penyu,all,48
2022-01-01,Sabah,Kudat,all,180
2022-01-01,Sabah,Kunak,all,48
2022-01-01,Sabah,Lahad Datu,all,268
2022-01-01,Sabah,Nabawan,all,0
2022-01-01,Sabah,Papar,all,77
2022-01-01,Sabah,Penampang,all,0
2022-01-01,Sabah,Pitas,all,72
2022-01-01,Sabah,Putatan,all,0
2022-01-01,Sabah,Ranau,all,110
2022-01-01,Sabah,Sandakan,all,400
2022-01-01,Sabah,Semporna,all,70
2022-01-01,Sabah,Sipitang,all,93
2022-01-01,Sabah,Tambunan,all,49
2022-01-01,Sabah,Tawau,all,431
2022-01-01,Sabah,Telupid,all,0
2022-01-01,Sabah,Tenom,all,70
2022-01-01,Sabah,Tongad,all,0
2022-01-01,Sabah,Tuaran,all,82
2022-01-01,Sarawak,All Districts,all,4119
2022-01-01,Sarawak,Asajaya,all,0
2022-01-01,Sarawak,Bau,all,68
2022-01-01,Sarawak,Belaga,all,0
2022-01-01,Sarawak,Beluru,all,0
2022-01-01,Sarawak,Betong,all,48
2022-01-01,Sarawak,Bintulu,all,302
2022-01-01,Sarawak,Bukit Mabong,all,0
2022-01-01,Sarawak,Dalat,all,8
2022-01-01,Sarawak,Daro,all,46
2022-01-01,Sarawak,Julau,all,0
2022-01-01,Sarawak,Kabong,all,0
2022-01-01,Sarawak,Kanowit,all,100
2022-01-01,Sarawak,Kapit,all,134
2022-01-01,Sarawak,Kuching,all,1412
2022-01-01,Sarawak,Lawas,all,46
2022-01-01,Sarawak,Limbang,all,100
2022-01-01,Sarawak,Lubok Antu,all,0
2022-01-01,Sarawak,Lundu,all,46
2022-01-01,Sarawak,Marudi,all,54
2022-01-01,Sarawak,Matu,all,0
2022-01-01,Sarawak,Meradong,all,0
2022-01-01,Sarawak,Miri,all,349
2022-01-01,Sarawak,Mukah,all,80
2022-01-01,Sarawak,Pakan,all,0
2022-01-01,Sarawak,Pusa,all,0
2022-01-01,Sarawak,Samarahan,all,128
2022-01-01,Sarawak,Saratok,all,106
2022-01-01,Sarawak,Sarikei,all,212
2022-01-01,Sarawak,Sebauh,all,0
2022-01-01,Sarawak,Selangau,all,0
2022-01-01,Sarawak,Serian,all,84
2022-01-01,Sarawak,Sibu,all,662
2022-01-01,Sarawak,Simunjan,all,42
2022-01-01,Sarawak,Song,all,0
2022-01-01,Sarawak,Sri Aman,all,92
2022-01-01,Sarawak,Subis,all,0
2022-01-01,Sarawak,Tanjung Manis,all,0
2022-01-01,Sarawak,Tatau,all,0
2022-01-01,Sarawak,Tebedu,all,0
2022-01-01,Selangor,All Districts,all,7640
2022-01-01,Selangor,Gombak (Rawang),all,3153
2022-01-01,Selangor,Hulu Langat (Bangi),all,1087
2022-01-01,Selangor,Hulu Selangor,all,120
2022-01-01,Selangor,Klang,all,1261
2022-01-01,Selangor,Kuala Langat,all,196
2022-01-01,Selangor,Kuala Selangor,all,114
2022-01-01,Selangor,Petaling (Subang Jaya),all,490
2022-01-01,Selangor,Sabak Bernam,all,93
2022-01-01,Selangor,Sepang,all,1126
2022-01-01,Terengganu,All Districts,all,1730
2022-01-01,Terengganu,Besut,all,140
2022-01-01,Terengganu,Dungun,all,100
2022-01-01,Terengganu,Hulu Terengganu,all,95
2022-01-01,Terengganu,Kemaman,all,164
2022-01-01,Terengganu,Kuala Terengganu,all,1155
2022-01-01,Terengganu,Marang,all,0
2022-01-01,Terengganu,Setiu,all,76
2022-01-01,W.P. Kuala Lumpur,All Districts,all,4874
2022-01-01,W.P. Kuala Lumpur,W.P. Kuala Lumpur,all,4874
2022-01-01,W.P. Labuan,All Districts,all,122
2022-01-01,W.P. Labuan,W.P. Labuan,all,122
2022-01-01,W.P. Putrajaya,All Districts,all,637
2022-01-01,W.P. Putrajaya,W.P. Putrajaya,all,637
